author,agg_score,n_relevant_articles,coauthor_name_collision,affiliations_seen,top_papers
"Robertson, G. K.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Shores, J. E.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Smith, I. C.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Speas, C. S.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Weis, M. R.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Porter, J. L.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"McBride, R. D.",22.0,1,,"Nuclear Engineering and Radiological Sciences Department, University of Michigan 2 , Ann Arbor, Michigan 48109-2104, USA | Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Ota, Thomas A.",22.0,1,,"AWE 1 , Aldermaston, Reading, Berkshire RG7 4PR, United Kingdom | Imperial College London 2 Institute of Shock Physics, Blackett Laboratory, , London, United Kingdom",[20] 2017 doi:10.1063/1.4978906 Monte-Carlo modelling to determine optimum filter choices for sub-microsecond optical pyro
"Chapman, David J.",22.0,1,,"Imperial College London 2 Institute of Shock Physics, Blackett Laboratory, , London, United Kingdom",[20] 2017 doi:10.1063/1.4978906 Monte-Carlo modelling to determine optimum filter choices for sub-microsecond optical pyro
"Eakins, Daniel E.",22.0,1,,"Imperial College London 2 Institute of Shock Physics, Blackett Laboratory, , London, United Kingdom",[20] 2017 doi:10.1063/1.4978906 Monte-Carlo modelling to determine optimum filter choices for sub-microsecond optical pyro
"Lebedev, Vyacheslav",22.0,1,,"Chemistry Division, Los Alamos National Laboratory , Los Alamos, New Mexico 87545, USA",[20] 2017 doi:10.1063/1.5006457 Note: Micro-channel array crucible for isotope-resolved laser spectroscopy of high-tempera
"Bartlett, Joshua H.",22.0,1,,"Chemistry Division, Los Alamos National Laboratory , Los Alamos, New Mexico 87545, USA",[20] 2017 doi:10.1063/1.5006457 Note: Micro-channel array crucible for isotope-resolved laser spectroscopy of high-tempera
"Malyzhenkov, Alexander",22.0,1,,"Chemistry Division, Los Alamos National Laboratory , Los Alamos, New Mexico 87545, USA",[20] 2017 doi:10.1063/1.5006457 Note: Micro-channel array crucible for isotope-resolved laser spectroscopy of high-tempera
"Castro, Alonso",22.0,1,,"Chemistry Division, Los Alamos National Laboratory , Los Alamos, New Mexico 87545, USA",[20] 2017 doi:10.1063/1.5006457 Note: Micro-channel array crucible for isotope-resolved laser spectroscopy of high-tempera
"Kefer, Oskar",21.8,1,,"Physikalisch-Chemisches Institut, Ruprecht-Karls-Universität Heidelberg , D-69120 Heidelberg, Germany",[15] 2024 doi:10.1063/5.0186915 Two-dimensional coherent electronic spectrometer with switchable multi-color configuration
"Kolesnichenko, Pavel V.",21.8,1,,"Physikalisch-Chemisches Institut, Ruprecht-Karls-Universität Heidelberg , D-69120 Heidelberg, Germany",[15] 2024 doi:10.1063/5.0186915 Two-dimensional coherent electronic spectrometer with switchable multi-color configuration
"Buckup, Tiago",21.8,1,,"Physikalisch-Chemisches Institut, Ruprecht-Karls-Universität Heidelberg , D-69120 Heidelberg, Germany",[15] 2024 doi:10.1063/5.0186915 Two-dimensional coherent electronic spectrometer with switchable multi-color configuration
"Fukumoto, M.",21.8,1,,"Naka Institute for Fusion Science and Technology, National Institutes for Quantum Science and Technology , Naka, Ibaraki 311-0193, Japan",[15] 2024 doi:10.1063/5.0215877 Real-time processing system of a two-color CO2 laser interferometer for density feedback c
"Wakatsuki, T.",21.8,1,,"Naka Institute for Fusion Science and Technology, National Institutes for Quantum Science and Technology , Naka, Ibaraki 311-0193, Japan",[15] 2024 doi:10.1063/5.0215877 Real-time processing system of a two-color CO2 laser interferometer for density feedback c
"Inoue, S.",21.8,1,,"Naka Institute for Fusion Science and Technology, National Institutes for Quantum Science and Technology , Naka, Ibaraki 311-0193, Japan",[15] 2024 doi:10.1063/5.0215877 Real-time processing system of a two-color CO2 laser interferometer for density feedback c
"Kojima, S.",21.8,1,,"Naka Institute for Fusion Science and Technology, National Institutes for Quantum Science and Technology , Naka, Ibaraki 311-0193, Japan",[15] 2024 doi:10.1063/5.0215877 Real-time processing system of a two-color CO2 laser interferometer for density feedback c
"Urano, H.",21.8,1,,"Naka Institute for Fusion Science and Technology, National Institutes for Quantum Science and Technology , Naka, Ibaraki 311-0193, Japan",[15] 2024 doi:10.1063/5.0215877 Real-time processing system of a two-color CO2 laser interferometer for density feedback c
"Guo, Xiaofeng",21.6,1,,"Department of Chemistry and Alexandra Navrotsky Institute for Experimental Thermodynamics, Washington State University 2 , Pullman, Washington 99164, USA | Earth and Environmental Sciences Division, L",[18] 2019 doi:10.1063/1.5093567 Sample seal-and-drop device and methodology for high temperature oxide melt solution calor
"Boukhalfa, Hakim",21.6,1,,"Earth and Environmental Sciences Division, Los Alamos National Laboratory 1 , Los Alamos, New Mexico 87545, USA",[18] 2019 doi:10.1063/1.5093567 Sample seal-and-drop device and methodology for high temperature oxide melt solution calor
"Mitchell, Jeremy N.",21.6,1,,"Materials Science and Technology Division, Los Alamos National Laboratory 3 , Los Alamos, New Mexico 87545, USA",[18] 2019 doi:10.1063/1.5093567 Sample seal-and-drop device and methodology for high temperature oxide melt solution calor
"Ramos, Michael",21.6,1,,"Materials Science and Technology Division, Los Alamos National Laboratory 3 , Los Alamos, New Mexico 87545, USA",[18] 2019 doi:10.1063/1.5093567 Sample seal-and-drop device and methodology for high temperature oxide melt solution calor
"Gaunt, Andrew J.",21.6,1,,"Chemistry Division, Los Alamos National Laboratory 4 , Los Alamos, New Mexico 87545, USA",[18] 2019 doi:10.1063/1.5093567 Sample seal-and-drop device and methodology for high temperature oxide melt solution calor
"Migliori, Albert",21.6,1,,"National High Magnetic Field Laboratory, Los Alamos National Laboratory 5 , Los Alamos, New Mexico 87545, USA",[18] 2019 doi:10.1063/1.5093567 Sample seal-and-drop device and methodology for high temperature oxide melt solution calor
"Roback, Robert C.",21.6,1,,"Earth and Environmental Sciences Division, Los Alamos National Laboratory 1 , Los Alamos, New Mexico 87545, USA",[18] 2019 doi:10.1063/1.5093567 Sample seal-and-drop device and methodology for high temperature oxide melt solution calor
"Navrotsky, Alexandra",21.6,1,,"Peter A. Rock Thermochemistry Laboratory and NEAT ORU, University of California Davis 6 , Davis, California 95616, USA",[18] 2019 doi:10.1063/1.5093567 Sample seal-and-drop device and methodology for high temperature oxide melt solution calor
"Xu, Hongwu",21.6,1,,"Earth and Environmental Sciences Division, Los Alamos National Laboratory 1 , Los Alamos, New Mexico 87545, USA",[18] 2019 doi:10.1063/1.5093567 Sample seal-and-drop device and methodology for high temperature oxide melt solution calor
"Brombin, M.",21.6,2,,"Consorzio RFX (CNR, ENEA, INFN, UNIPD, Acciaierie Venete SpA) 1 , Corso Stati Uniti 4, 35127 Padova, Italy | Consorzio RFX , Corso Stati Uniti 4, I-35127 Padova, Italy",[11] 2016 doi:10.1063/1.4961077 Final design of thermal diagnostic system in SPIDER ion source; [8] 2020 doi:10.1063/1.5133076 First operation in SPIDER and the path to complete MITICA
"Dalla Palma, M.",21.6,2,,"Consorzio RFX (CNR, ENEA, INFN, UNIPD, Acciaierie Venete SpA) 1 , Corso Stati Uniti 4, 35127 Padova, Italy | Consorzio RFX , Corso Stati Uniti 4, I-35127 Padova, Italy",[11] 2016 doi:10.1063/1.4961077 Final design of thermal diagnostic system in SPIDER ion source; [8] 2020 doi:10.1063/1.5133076 First operation in SPIDER and the path to complete MITICA
"Pomaro, N.",21.6,2,,"Consorzio RFX (CNR, ENEA, INFN, UNIPD, Acciaierie Venete SpA) 1 , Corso Stati Uniti 4, 35127 Padova, Italy | Consorzio RFX , Corso Stati Uniti 4, I-35127 Padova, Italy",[11] 2016 doi:10.1063/1.4961077 Final design of thermal diagnostic system in SPIDER ion source; [8] 2020 doi:10.1063/1.5133076 First operation in SPIDER and the path to complete MITICA
"Fantz, U.",21.5,2,,"IPP, Max-Planck-Institut für Plasmaphysik 7 , Boltzmannstraße 2, D-85748 Garching bei München, Germany | Max Planck Institut für Plasmaphysik 3 , Garching, Germany",[10] 2018 doi:10.1063/1.5036823 Neutron measurements at the ELISE neutral beam test facility and implications for neutron ; [8] 2020 doi:10.1063/1.5133076 First operation in SPIDER and the path to complete MITICA
"Heinemann, B.",21.5,2,,"IPP, Max-Planck-Institut für Plasmaphysik 7 , Boltzmannstraße 2, D-85748 Garching bei München, Germany | Max Planck Institut für Plasmaphysik 3 , Garching, Germany",[10] 2018 doi:10.1063/1.5036823 Neutron measurements at the ELISE neutral beam test facility and implications for neutron ; [8] 2020 doi:10.1063/1.5133076 First operation in SPIDER and the path to complete MITICA
"Kraus, W.",21.5,2,,"IPP, Max-Planck-Institut für Plasmaphysik 7 , Boltzmannstraße 2, D-85748 Garching bei München, Germany | Max Planck Institut für Plasmaphysik 3 , Garching, Germany",[10] 2018 doi:10.1063/1.5036823 Neutron measurements at the ELISE neutral beam test facility and implications for neutron ; [8] 2020 doi:10.1063/1.5133076 First operation in SPIDER and the path to complete MITICA
"Liu, Yan",21.2,1,,"State Key Laboratory for Mechanical Manufacturing Systems Engineering, Xi’an Jiaotong University , Xi’an, Shaanxi 710048, China",[17] 2020 doi:10.1063/5.0008887 WRe26–In2O3 probe-type thin film thermocouples applied to high temperature measurement
"Mao, Qi",21.2,1,,"State Key Laboratory for Mechanical Manufacturing Systems Engineering, Xi’an Jiaotong University , Xi’an, Shaanxi 710048, China",[17] 2020 doi:10.1063/5.0008887 WRe26–In2O3 probe-type thin film thermocouples applied to high temperature measurement
"Lu, Dejiang",21.2,1,,"State Key Laboratory for Mechanical Manufacturing Systems Engineering, Xi’an Jiaotong University , Xi’an, Shaanxi 710048, China",[17] 2020 doi:10.1063/5.0008887 WRe26–In2O3 probe-type thin film thermocouples applied to high temperature measurement
"Coleman, J. E.",21.0,1,,"Los Alamos National Laboratory , Los Alamos, New Mexico 87545, USA",[20] 2016 doi:10.1063/1.4973433 A spectral pyrometer to spatially resolve the blackbody temperature of a warm dense plasma
"Franz, C.",21.0,1,,"Technische Universität München Physik-Department, , D-85748 Garching, Germany",[20] 2016 doi:10.1063/1.4967011 Ultra-high vacuum compatible preparation chain for intermetallic compounds
"Gregor, M. C.",21.0,1,,"University of Rochester 1 Laboratory for Laser Energetics, , 250 East River Road, Rochester, New York 14623-1299, USA | University of Rochester 2 Department of Physics and Astronomy, , Rochester, New ",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"Boni, R.",21.0,1,,"University of Rochester 1 Laboratory for Laser Energetics, , 250 East River Road, Rochester, New York 14623-1299, USA",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"Sorce, A.",21.0,1,,"University of Rochester 1 Laboratory for Laser Energetics, , 250 East River Road, Rochester, New York 14623-1299, USA",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"Kendrick, J.",21.0,1,,"University of Rochester 1 Laboratory for Laser Energetics, , 250 East River Road, Rochester, New York 14623-1299, USA",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"McCoy, C. A.",21.0,1,,"University of Rochester 1 Laboratory for Laser Energetics, , 250 East River Road, Rochester, New York 14623-1299, USA | University of Rochester 3 Department of Mechanical Engineering, , Rochester, New",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"Polsin, D. N.",21.0,1,,"University of Rochester 1 Laboratory for Laser Energetics, , 250 East River Road, Rochester, New York 14623-1299, USA | University of Rochester 2 Department of Physics and Astronomy, , Rochester, New ",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"Boehly, T. R.",21.0,1,,"University of Rochester 1 Laboratory for Laser Energetics, , 250 East River Road, Rochester, New York 14623-1299, USA",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"Celliers, P. M.",21.0,1,,"Lawrence Livermore National Laboratory 4 , 7000 East Avenue, Livermore, California 94550, USA",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"Fratanduono, D. E.",21.0,1,,"Lawrence Livermore National Laboratory 4 , 7000 East Avenue, Livermore, California 94550, USA",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"Eggert, J. H.",21.0,1,,"Lawrence Livermore National Laboratory 4 , 7000 East Avenue, Livermore, California 94550, USA",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"Millot, M.",21.0,1,,"Lawrence Livermore National Laboratory 4 , 7000 East Avenue, Livermore, California 94550, USA",[20] 2016 doi:10.1063/1.4968023 Absolute calibration of the OMEGA streaked optical pyrometer for temperature measurements 
"Chevrel, M. O.",21.0,1,,"CNRS, IRD, OPGC, Laboratoire Magmas et Volcans, Université Clermont Auvergne 1 , 63000 Clermont-Ferrand, France | Institut de Physique du Globe de Paris, CNRS, Université Paris Cité 2 , 75005 Paris, F",[15] 2023 doi:10.1063/5.0160247 A new portable field rotational viscometer for high-temperature melts
"Latchimy, T.",21.0,1,,"CNRS, IRD, OPGC, Laboratoire Magmas et Volcans, Université Clermont Auvergne 1 , 63000 Clermont-Ferrand, France",[15] 2023 doi:10.1063/5.0160247 A new portable field rotational viscometer for high-temperature melts
"Batier, L.",21.0,1,,"Polytech Clermont, Université Clermont Auvergne 4 , 63000 Clermont-Ferrand, France",[15] 2023 doi:10.1063/5.0160247 A new portable field rotational viscometer for high-temperature melts
"Delpoux, R.",21.0,1,,"INSA Lyon, Ecole Centrale de Lyon, CNRS, Ampère, UMR5005, Univ Lyon, Université Claude Bernard Lyon 1 5 , 69621 Villeurbanne, France",[15] 2023 doi:10.1063/5.0160247 A new portable field rotational viscometer for high-temperature melts
